Company,Stock tickker,ROA,ROE,debt,Dividend,P/e,P/b,ROIC
Advanced Enzyme,ADVENZYMES,,11.2,,1.79,22.4,,15.2
Ahluwalia Contracts,AHLUCONT,,16.4,,0.08,24.9,,23.8
AIA Engineering,AIAENG,,18.3,,0.50,29.4,,22.7
Amara Raja,ARE&M,,14.4,,0.95,20.4,,19.2
Berger Paints,BERGEPAINT,,23.5,,0.70,51.2,,27.5
Cera Sanitaryware,CERA,,19,,1.11,29.8,,24.6
DB Corp,DBCORP,,20.2,,5.85,8.97,,25.1
Elgi Equipments,ELGIEQUIP,,20.6,,0.43,45.3,,22.3
Genpact,,,,,,,,
Havells,HAVELLS,,18,,0.58,69.3,,24.4
Info Edge,NAUKRI,,2.44,,0.30,148,,3.65
Jyothy Labs,JYOTHYLAB,,21.2,,1.05,32.8,,27.0
Matrimony,MATRIMONY,,18.2,,0.92,24.9,,20.8
MRF,MRF,,12.6,,0.19,25.9,,16.1
NRB Bearings,NRBBEARING,,12.7,,1.17,19.2,,14.6
Page Industries,PAGEIND,,,,,,,
Ratnamani,,,,,,,,
Sundaram Finance,,,,,,,,
Supreme,SUPREMEIND,,21.7,,0.84,44.5,,28.6
Thermax,THERMAX,,14.2,,0.37,62.8,,16.9
Triveni Turbine,TRITURBINE,,28.5,,0.47,51.5,,38.3
TTK Prestige,TTKPRESTIG,,11.2,,0.91,44.0,,14.6
V-Guard,VGUARD,,15.0,,0.43,47.6,,17.5
Vaibhav,VAIBHAVGBL,,10.8,,2.56,27.3,,14.0
Voltamp Transformers,VOLTAMP,,,,,,,
WNS,,,,,,,,
